,property,value
123,dfs.default.chunk.view.size,32768
124,dfs.datanode.du.reserved,0
125,dfs.datanode.du.reserved.pct,0
126,dfs.namenode.fs-limits.max-component-length,255
127,dfs.namenode.fs-limits.max-directory-items,1048576
128,dfs.namenode.fs-limits.min-block-size,1048576
129,dfs.namenode.fs-limits.max-blocks-per-file,10000
130,dfs.namenode.lazypersist.file.scrub.interval.sec,300
131,dfs.block.access.key.update.interval,600
132,dfs.block.access.token.lifetime,600
133,dfs.datanode.data.dir.perm,700
134,dfs.replication,3
135,dfs.replication.max,512
136,dfs.namenode.replication.min,1
137,dfs.namenode.maintenance.replication.min,1
138,dfs.namenode.max-corrupt-file-blocks-returned,100
139,dfs.blocksize,134217728
140,dfs.client.block.write.retries,3
141,dfs.client.block.write.replace-datanode-on-failure.min-replication,0
142,dfs.blockreport.intervalMsec,21600000
143,dfs.blockreport.initialDelay,0
144,dfs.blockreport.split.threshold,1000000
145,dfs.namenode.max.full.block.report.leases,6
146,dfs.namenode.full.block.report.lease.length.ms,300000
147,dfs.datanode.directoryscan.interval,21600
148,dfs.datanode.directoryscan.threads,1
149,dfs.datanode.directoryscan.throttle.limit.ms.per.sec,1000
150,dfs.heartbeat.interval,3
151,dfs.namenode.handler.count,10
152,dfs.namenode.service.handler.count,10
153,dfs.namenode.safemode.min.datanodes,0
154,dfs.namenode.safemode.extension,30000
155,dfs.namenode.resource.check.interval,5000
156,dfs.namenode.resource.du.reserved,104857600
157,dfs.namenode.resource.checked.volumes.minimum,1
158,dfs.namenode.max.objects,0
159,dfs.namenode.decommission.interval,30
160,dfs.namenode.decommission.blocks.per.interval,500000
161,dfs.namenode.decommission.max.concurrent.tracked.nodes,100
162,dfs.namenode.decommission.backoff.monitor.pending.limit,10000
163,dfs.namenode.decommission.backoff.monitor.pending.blocks.per.lock,1000
164,dfs.namenode.redundancy.interval.seconds,3
165,dfs.namenode.redundancy.queue.restart.iterations,2400
166,dfs.namenode.accesstime.precision,3600000
167,dfs.stream-buffer-size,4096
168,dfs.bytes-per-checksum,512
169,dfs.client-write-packet-size,65536
170,dfs.client.write.exclude.nodes.cache.expiry.interval.millis,600000
171,dfs.namenode.checkpoint.period,3600
172,dfs.namenode.checkpoint.txns,1000000
173,dfs.namenode.checkpoint.check.period,60
174,dfs.namenode.checkpoint.max-retries,3
175,dfs.namenode.num.checkpoints.retained,2
176,dfs.namenode.num.extra.edits.retained,1000000
177,dfs.namenode.max.extra.edits.segments.retained,10000
178,dfs.namenode.delegation.key.update-interval,86400000
179,dfs.namenode.delegation.token.max-lifetime,604800000
180,dfs.namenode.delegation.token.renew-interval,86400000
181,dfs.datanode.failed.volumes.tolerated,0
182,dfs.image.transfer.timeout,60000
183,dfs.image.transfer.bandwidthPerSec,52428800
184,dfs.image.transfer-bootstrap-standby.bandwidthPerSec,0
185,dfs.image.transfer.chunksize,65536
186,dfs.image.parallel.target.sections,12
187,dfs.image.parallel.inode.threshold,1000000
188,dfs.image.parallel.threads,4
189,dfs.edit.log.transfer.timeout,30000
190,dfs.edit.log.transfer.bandwidthPerSec,0
191,dfs.datanode.max.transfer.threads,4096
192,dfs.datanode.scan.period.hours,504
193,dfs.block.scanner.volume.bytes.per.second,1048576
194,dfs.block.scanner.volume.join.timeout.ms,5000
195,dfs.datanode.readahead.bytes,4194304
196,dfs.client.failover.max.attempts,15
197,dfs.client.failover.sleep.base.millis,500
198,dfs.client.failover.sleep.max.millis,15000
199,dfs.client.failover.connection.retries,0
200,dfs.client.failover.connection.retries.on.timeouts,0
201,dfs.client.datanode-restart.timeout,30
202,dfs.ha.log-roll.period,120
203,dfs.ha.tail-edits.period,60
204,dfs.ha.tail-edits.period.backoff-max,0
205,dfs.ha.tail-edits.namenode-retries,3
206,dfs.ha.tail-edits.rolledits.timeout,60
207,dfs.short.circuit.shared.memory.watcher.interrupt.check.ms,60000
208,dfs.namenode.stale.datanode.interval,30000
209,dfs.namenode.replication.work.multiplier.per.iteration,2
210,nfs.server.port,2049
211,nfs.mountd.port,4242
212,nfs.rtmax,1048576
213,nfs.wtmax,1048576
214,hadoop.fuse.connection.timeout,300
215,hadoop.fuse.timer.period,5
216,dfs.namenode.metrics.logger.period.seconds,600
217,dfs.datanode.metrics.logger.period.seconds,600
218,dfs.datanode.peer.metrics.min.outlier.detection.samples,1000
219,dfs.datanode.min.outlier.detection.nodes,10
220,dfs.datanode.slowpeer.low.threshold.ms,5
221,dfs.datanode.max.nodes.to.report,5
222,dfs.namenode.max.slowpeer.collect.nodes,5
223,dfs.datanode.fileio.profiling.sampling.percentage,0
224,dfs.datanode.min.outlier.detection.disks,5
225,dfs.datanode.slowdisk.low.threshold.ms,20
226,dfs.datanode.max.disks.to.report,5
227,dfs.datanode.max.slowdisks.to.exclude,0
228,dfs.encrypt.data.transfer.cipher.key.bitlength,128
229,dfs.datanode.available-space-volume-choosing-policy.balanced-space-threshold,10737418240
230,dfs.client.server-defaults.validity.period.ms,3600000
231,dfs.namenode.retrycache.expirytime.millis,600000
232,dfs.client.mmap.cache.size,256
233,dfs.client.mmap.cache.timeout.ms,3600000
234,dfs.client.mmap.retry.timeout.ms,300000
235,dfs.client.short.circuit.replica.stale.threshold.ms,1800000
236,dfs.datanode.max.locked.memory,0
237,dfs.namenode.list.cache.directives.num.responses,100
238,dfs.namenode.list.cache.pools.num.responses,100
239,dfs.namenode.path.based.cache.refresh.interval.ms,30000
240,dfs.namenode.path.based.cache.retry.interval.ms,30000
241,dfs.datanode.fsdatasetcache.max.threads.per.volume,4
242,dfs.datanode.fsdatasetasyncdisk.max.threads.per.volume,4
243,dfs.cachereport.intervalMsec,10000
244,dfs.namenode.edit.log.autoroll.check.interval.ms,300000
245,dfs.client.socket.send.buffer.size,0
246,dfs.domain.socket.disable.interval.seconds,600
247,dfs.client.read.shortcircuit.streams.cache.size,256
248,dfs.client.read.shortcircuit.streams.cache.expiry.ms,300000
249,dfs.namenode.fs-limits.max-xattrs-per-inode,32
250,dfs.namenode.fs-limits.max-xattr-size,16384
251,dfs.client.slow.io.warning.threshold.ms,30000
252,dfs.datanode.slow.io.warning.threshold.ms,300
253,dfs.client.deadnode.detection.probe.deadnode.threads,10
254,dfs.client.deadnode.detection.idle.sleep.ms,10000
255,dfs.client.deadnode.detection.probe.suspectnode.threads,10
256,dfs.client.deadnode.detection.rpc.threads,20
257,dfs.client.deadnode.detection.probe.deadnode.interval.ms,60000
258,dfs.client.deadnode.detection.probe.suspectnode.interval.ms,300
259,dfs.client.deadnode.detection.probe.connection.timeout.ms,20000
260,dfs.client.refresh.read-block-locations.ms,0
261,dfs.client.refresh.read-block-locations.threads,5
262,dfs.namenode.lease-recheck-interval-ms,2000
263,dfs.namenode.max-lock-hold-to-release-lease-ms,25
264,dfs.namenode.write-lock-reporting-threshold-ms,5000
265,dfs.namenode.read-lock-reporting-threshold-ms,5000
266,dfs.datanode.lock-reporting-threshold-ms,300
267,dfs.namenode.startup.delay.block.deletion.sec,0
268,dfs.datanode.block.id.layout.upgrade.threads,6
269,dfs.namenode.list.encryption.zones.num.responses,100
270,dfs.namenode.list.reencryption.status.num.responses,100
271,dfs.namenode.list.openfiles.num.responses,1000
272,dfs.namenode.edekcacheloader.interval.ms,1000
273,dfs.namenode.edekcacheloader.initial.delay.ms,3000
274,dfs.namenode.reencrypt.batch.size,1000
275,dfs.namenode.reencrypt.edek.threads,10
276,dfs.namenode.inotify.max.events.per.rpc,1000
277,dfs.datanode.cache.revocation.timeout.ms,900000
278,dfs.datanode.cache.revocation.polling.ms,500
279,dfs.namenode.top.window.num.buckets,10
280,dfs.namenode.top.num.users,10
281,dfs.webhdfs.ugi.expire.after.access,600000
282,dfs.namenode.blocks.per.postponedblocks.rescan,10000
283,dfs.client.block.write.locateFollowingBlock.initial.delay.ms,400
284,dfs.client.block.write.locateFollowingBlock.max.delay.ms,60000
285,dfs.ha.zkfc.nn.http.timeout.ms,20000
286,dfs.namenode.ec.policies.max.cellsize,4194304
287,dfs.datanode.ec.reconstruction.stripedread.timeout.millis,5000
288,dfs.datanode.ec.reconstruction.stripedread.buffer.size,65536
289,dfs.datanode.ec.reconstruction.threads,8
290,dfs.namenode.quota.init-threads,12
291,dfs.datanode.transfer.socket.send.buffer.size,0
292,dfs.datanode.transfer.socket.recv.buffer.size,0
293,dfs.datanode.bp-ready.timeout,20
294,dfs.datanode.cached-dfsused.check.interval.ms,600000
295,dfs.http.client.failover.max.attempts,15
296,dfs.http.client.retry.max.attempts,10
297,dfs.http.client.failover.sleep.base.millis,500
298,dfs.http.client.failover.sleep.max.millis,15000
299,datanode.https.port,50475
300,dfs.namenode.get-blocks.max-qps,20
301,dfs.balancer.dispatcherThreads,200
302,dfs.balancer.movedWinWidth,5400000
303,dfs.balancer.moverThreads,1000
304,dfs.balancer.max-size-to-move,10737418240
305,dfs.balancer.getBlocks.min-block-size,10485760
306,dfs.balancer.getBlocks.size,2147483648
307,dfs.balancer.block-move.timeout,0
308,dfs.balancer.max-no-move-interval,60000
309,dfs.balancer.max-iteration-time,1200000
310,dfs.block.invalidate.limit,1000
311,dfs.balancer.service.retries.on.exception,5
312,dfs.block.misreplication.processing.limit,10000
313,dfs.blockreport.incremental.intervalMsec,0
314,dfs.checksum.ec.socket-timeout,3000
315,dfs.client.block.write.locateFollowingBlock.retries,5
316,dfs.client.key.provider.cache.expiry,864000000
317,dfs.client.max.block.acquire.failures,3
318,dfs.client.read.short.circuit.replica.stale.threshold.ms,1800000
319,dfs.client.read.shortcircuit.buffer.size,1048576
320,dfs.client.short.circuit.num,1
321,dfs.client.read.striped.threadpool.size,18
322,dfs.client.retry.interval-ms.get-last-block-length,4000
323,dfs.client.retry.max.attempts,10
324,dfs.client.retry.times.get-last-block-length,3
325,dfs.client.retry.window.base,3000
326,dfs.client.socket-timeout,60000
327,dfs.client.socketcache.capacity,16
328,dfs.client.socketcache.expiryMsec,3000
329,dfs.client.test.drop.namenode.response.number,0
330,dfs.client.hedged.read.threadpool.size,0
331,dfs.client.hedged.read.threshold.millis,500
332,dfs.client.write.byte-array-manager.count-limit,2048
333,dfs.client.write.byte-array-manager.count-reset-time-period-ms,10000
334,dfs.client.write.byte-array-manager.count-threshold,128
335,dfs.client.write.max-packets-in-flight,80
336,dfs.client.block.reader.remote.buffer.size,512
337,dfs.content-summary.limit,5000
338,dfs.content-summary.sleep-microsec,500
339,dfs.datanode.balance.max.concurrent.moves,100
340,dfs.datanode.data.transfer.bandwidthPerSec,0
341,dfs.datanode.data.write.bandwidthPerSec,0
342,dfs.datanode.ec.reconstruct.read.bandwidthPerSec,0
343,dfs.datanode.ec.reconstruct.write.bandwidthPerSec,0
344,dfs.datanode.lazywriter.interval.sec,60
345,dfs.datanode.network.counts.cache.max.size,2147483647
346,dfs.datanode.restart.replica.expiration,50
347,dfs.datanode.socket.reuse.keepalive,4000
348,dfs.datanode.socket.write.timeout,480000
349,dfs.ha.zkfc.port,8019
350,dfs.journalnode.sync.interval,120000
351,dfs.journalnode.edit-cache-size.bytes,1048576
352,dfs.batched.ls.limit,100
353,dfs.ls.limit,1000
354,dfs.mover.movedWinWidth,5400000
355,dfs.mover.moverThreads,1000
356,dfs.mover.retry.max.attempts,10
357,dfs.mover.max-no-move-interval,60000
358,dfs.namenode.audit.log.async.buffer.size,128
359,dfs.namenode.available-space-block-placement-policy.balanced-space-tolerance,5
360,dfs.namenode.available-space-rack-fault-tolerant-block-placement-policy.balanced-space-tolerance,5
361,dfs.namenode.edits.dir.minimum,1
362,dfs.namenode.file.close.num-committed-allowed,0
363,dfs.namenode.max-num-blocks-to-log,1000
364,dfs.namenode.max.op.size,52428800
365,dfs.namenode.missing.checkpoint.periods.before.shutdown,3
366,dfs.namenode.name.cache.threshold,10
367,dfs.namenode.replication.max-streams,2
368,dfs.namenode.replication.max-streams-hard-limit,4
369,dfs.namenode.reconstruction.pending.timeout-sec,300
370,dfs.namenode.stale.datanode.minimum.interval,3
371,dfs.namenode.snapshotdiff.listing.limit,1000
372,dfs.namenode.snapshot.max.limit,65536
373,dfs.namenode.snapshot.skiplist.max.levels,0
374,dfs.namenode.snapshot.skiplist.interval,10
375,dfs.storage.policy.satisfier.queue.limit,1000
376,dfs.storage.policy.satisfier.work.multiplier.per.iteration,1
377,dfs.storage.policy.satisfier.recheck.timeout.millis,60000
378,dfs.storage.policy.satisfier.self.retry.timeout.millis,300000
379,dfs.storage.policy.satisfier.retry.max.attempts,3
380,dfs.storage.policy.satisfier.datanode.cache.refresh.interval.ms,300000
381,dfs.storage.policy.satisfier.max.outstanding.paths,10000
382,dfs.qjournal.accept-recovery.timeout.ms,120000
383,dfs.qjournal.finalize-segment.timeout.ms,120000
384,dfs.qjournal.get-journal-state.timeout.ms,120000
385,dfs.qjournal.new-epoch.timeout.ms,120000
386,dfs.qjournal.prepare-recovery.timeout.ms,120000
387,dfs.qjournal.queued-edits.limit.mb,10
388,dfs.qjournal.select-input-streams.timeout.ms,20000
389,dfs.qjournal.start-segment.timeout.ms,20000
390,dfs.qjournal.write-txns.timeout.ms,20000
391,dfs.qjournal.http.open.timeout.ms,60000
392,dfs.qjournal.http.read.timeout.ms,60000
393,dfs.qjournal.parallel-read.num-threads,5
394,dfs.webhdfs.netty.high.watermark,65535
395,dfs.webhdfs.netty.low.watermark,32768
396,dfs.disk.balancer.max.disk.throughputInMBperSec,10
397,dfs.disk.balancer.block.tolerance.percent,10
398,dfs.disk.balancer.max.disk.errors,5
399,dfs.disk.balancer.plan.threshold.percent,10
400,dfs.provided.aliasmap.inmemory.batch-size,500
401,dfs.provided.aliasmap.load.retries,0
402,httpfs.buffer.size,4096
403,dfs.namenode.block.deletion.increment,1000
404,dfs.namenode.blockreport.queue.size,1024
405,dfs.namenode.storage.dir.perm,700
406,dfs.namenode.blockreport.max.lock.hold.time,4
407,dfs.journalnode.edits.dir.perm,700
408,dfs.namenode.lease-hard-limit-sec,1200
409,mapreduce.task.io.sort.factor,10
410,mapreduce.task.io.sort.mb,100
411,mapreduce.job.local-fs.single-disk-limit.check.interval-ms,5000
412,mapreduce.job.maps,2
413,mapreduce.job.reduces,1
414,mapreduce.job.running.map.limit,0
415,mapreduce.job.running.reduce.limit,0
416,mapreduce.job.reducer.preempt.delay.sec,0
417,mapreduce.job.reducer.unconditional-preempt.delay.sec,300
418,mapreduce.job.max.split.locations,15
419,mapreduce.job.split.metainfo.maxsize,10000000
420,mapreduce.map.maxattempts,4
421,mapreduce.reduce.maxattempts,4
422,mapreduce.reduce.shuffle.fetch.retry.interval-ms,1000
423,mapreduce.reduce.shuffle.fetch.retry.timeout-ms,30000
424,mapreduce.reduce.shuffle.retry-delay.max.ms,60000
425,mapreduce.reduce.shuffle.parallelcopies,5
426,mapreduce.reduce.shuffle.connect.timeout,180000
427,mapreduce.reduce.shuffle.read.timeout,180000
428,mapreduce.shuffle.listen.queue.size,128
429,mapreduce.shuffle.connection-keep-alive.timeout,5
430,mapreduce.task.timeout,600000
431,mapreduce.task.stuck.timeout-ms,600000
432,mapreduce.map.cpu.vcores,1
433,mapreduce.reduce.cpu.vcores,1
434,mapreduce.reduce.merge.inmem.threshold,1000
435,mapreduce.shuffle.ssl.file.buffer.size,65536
436,mapreduce.shuffle.max.connections,0
437,mapreduce.shuffle.max.threads,0
438,mapreduce.shuffle.transfer.buffer.size,131072
439,mapreduce.job.speculative.minimum-allowed-tasks,10
440,mapreduce.job.speculative.retry-after-no-speculate,1000
441,mapreduce.job.speculative.retry-after-speculate,15000
442,mapreduce.job.ubertask.maxmaps,9
443,mapreduce.job.ubertask.maxreduces,1
444,mapreduce.input.fileinputformat.split.minsize,0
445,mapreduce.input.fileinputformat.list-status.num-threads,1
446,mapreduce.input.lineinputformat.linespermap,1
447,mapreduce.client.submit.file.replication,10
448,mapreduce.task.userlog.limit.kb,0
449,yarn.app.mapreduce.am.container.log.limit.kb,0
450,yarn.app.mapreduce.task.container.log.backups,0
451,yarn.app.mapreduce.am.container.log.backups,0
452,yarn.app.mapreduce.shuffle.log.limit.kb,0
453,yarn.app.mapreduce.shuffle.log.backups,0
454,mapreduce.job.maxtaskfailures.per.tracker,3
455,mapreduce.client.completion.pollinterval,5000
456,mapreduce.client.progressmonitor.pollinterval,1000
457,mapreduce.task.skip.start.attempts,2
458,mapreduce.map.skip.maxrecords,0
459,mapreduce.reduce.skip.maxgroups,0
460,mapreduce.ifile.readahead.bytes,4194304
461,mapreduce.task.merge.progress.records,10000
462,mapreduce.task.combine.progress.records,10000
463,mapreduce.shuffle.port,13562
464,mapreduce.shuffle.pathcache.max-weight,10485760
465,mapreduce.shuffle.pathcache.expire-after-access-minutes,5
466,mapreduce.shuffle.pathcache.concurrency-level,16
467,mapreduce.job.counters.max,120
468,mapreduce.am.max-attempts,2
469,mapreduce.job.end-notification.retry.attempts,0
470,mapreduce.job.end-notification.retry.interval,1000
471,mapreduce.job.end-notification.max.attempts,5
472,mapreduce.job.end-notification.max.retry.interval,5000
473,yarn.app.mapreduce.am.job.task.listener.thread-count,30
474,yarn.app.mapreduce.am.job.committer.cancel-timeout,60000
475,yarn.app.mapreduce.am.job.committer.commit-window,10000
476,mapreduce.fileoutputcommitter.algorithm.version,2
477,yarn.app.mapreduce.am.scheduler.heartbeat.interval-ms,1000
478,yarn.app.mapreduce.client-am.ipc.max-retries,3
479,yarn.app.mapreduce.client-am.ipc.max-retries-on-timeouts,3
480,yarn.app.mapreduce.client.max-retries,3
481,yarn.app.mapreduce.am.resource.mb,1536
482,yarn.app.mapreduce.am.resource.cpu-vcores,1
483,yarn.app.mapreduce.am.hard-kill-timeout-ms,10000
484,yarn.app.mapreduce.client.job.max-retries,3
485,yarn.app.mapreduce.client.job.retry-interval,2000
486,mapreduce.jobhistory.intermediate-user-done-dir.permissions,770
487,mapreduce.jobhistory.cleaner.interval-ms,86400000
488,mapreduce.jobhistory.max-age-ms,604800000
489,mapreduce.jobhistory.client.thread-count,10
490,mapreduce.jobhistory.datestring.cache.size,200000
491,mapreduce.jobhistory.joblist.cache.size,20000
492,mapreduce.jobhistory.loadedjobs.cache.size,5
493,mapreduce.jobhistory.move.interval-ms,180000
494,mapreduce.jobhistory.move.thread-count,3
495,mapreduce.jobhistory.jobname.limit,50
496,yarn.app.mapreduce.am.containerlauncher.threadpool-initial-size,10
497,mapreduce.task.exit.timeout,60000
498,mapreduce.task.exit.timeout.check-interval-ms,20000
499,mapreduce.job.encrypted-intermediate-data-key-size-bits,128
500,mapreduce.job.encrypted-intermediate-data.buffer.kb,128
501,mapreduce.job.cache.limit.max-resources,0
502,mapreduce.job.cache.limit.max-resources-mb,0
503,mapreduce.job.cache.limit.max-single-resource-mb,0
504,yarn.resourcemanager.client.thread-count,50
505,yarn.resourcemanager.amlauncher.thread-count,50
506,yarn.resourcemanager.nodemanager-connect-retries,10
507,yarn.dispatcher.drain-events.timeout,300000
508,yarn.dispatcher.print-events-info.threshold,5000
509,yarn.dispatcher.cpu-monitor.samples-per-min,60
510,yarn.am.liveness-monitor.expiry-interval-ms,600000
511,yarn.resourcemanager.scheduler.client.thread-count,50
512,yarn.resourcemanager.placement-constraints.retry-attempts,3
513,yarn.resourcemanager.placement-constraints.algorithm.pool-size,1
514,yarn.resourcemanager.placement-constraints.scheduler.pool-size,1
515,yarn.resourcemanager.admin.client.thread-count,1
516,yarn.resourcemanager.connect.max-wait.ms,900000
517,yarn.resourcemanager.connect.retry-interval.ms,30000
518,yarn.resourcemanager.am.max-attempts,2
519,yarn.resourcemanager.container.liveness-monitor.interval-ms,600000
520,yarn.nm.liveness-monitor.expiry-interval-ms,600000
521,yarn.resourcemanager.resource-tracker.client.thread-count,50
522,yarn.scheduler.minimum-allocation-mb,1024
523,yarn.scheduler.maximum-allocation-mb,8192
524,yarn.scheduler.minimum-allocation-vcores,1
525,yarn.scheduler.maximum-allocation-vcores,4
526,yarn.resourcemanager.work-preserving-recovery.scheduling-wait-ms,10000
527,yarn.resourcemanager.fs.state-store.num-retries,0
528,yarn.resourcemanager.fs.state-store.retry-interval-ms,1000
529,yarn.resourcemanager.leveldb-state-store.compaction-interval-secs,3600
530,yarn.resourcemanager.zk-appid-node.split-index,0
531,yarn.resourcemanager.zk-delegation-token-node.split-index,0
532,yarn.resourcemanager.zk-max-znode-size.bytes,1048576
533,yarn.resourcemanager.epoch.range,0
534,yarn.client.failover-retries,0
535,yarn.client.failover-retries-on-socket-timeouts,0
536,yarn.resourcemanager.max-completed-applications,1000
537,yarn.resourcemanager.delayed.delegation-token.removal-interval-ms,30000
538,yarn.resourcemanager.delegation-token.max-conf-size-bytes,12800
539,yarn.resourcemanager.am-rm-tokens.master-key-rolling-interval-secs,86400
540,yarn.resourcemanager.container-tokens.master-key-rolling-interval-secs,86400
541,yarn.resourcemanager.nodemanagers.heartbeat-interval-ms,1000
542,yarn.resourcemanager.nodemanagers.heartbeat-interval-min-ms,1000
543,yarn.resourcemanager.nodemanagers.heartbeat-interval-max-ms,1000
544,yarn.resourcemanager.system-metrics-publisher.dispatcher.pool-size,10
545,yarn.resourcemanager.system-metrics-publisher.timeline-server-v1.batch-size,1000
546,yarn.resourcemanager.system-metrics-publisher.timeline-server-v1.interval-seconds,60
547,yarn.resourcemanager.max-log-aggregation-diagnostics-in-memory,10
548,yarn.resourcemanager.delegation-token-renewer.thread-count,50
549,yarn.resourcemanager.delegation.key.update-interval,86400000
550,yarn.resourcemanager.delegation.token.max-lifetime,604800000
551,yarn.resourcemanager.delegation.token.renew-interval,86400000
552,yarn.resourcemanager.delegation-token-renewer.thread-retry-max-attempts,10
553,yarn.resourcemanager.history-writer.multi-threaded-dispatcher.pool-size,10
554,yarn.resourcemanager.nm-tokens.master-key-rolling-interval-secs,86400
555,yarn.resourcemanager.reservation-system.planfollower.time-step,1000
556,yarn.resourcemanager.rm.container-allocation.expiry-interval-ms,600000
557,yarn.nodemanager.container-manager.thread-count,20
558,yarn.nodemanager.collector-service.thread-count,5
559,yarn.nodemanager.delete.thread-count,4
560,yarn.nodemanager.container-executor.exit-code-file.timeout-ms,2000
561,yarn.nodemanager.opportunistic-containers-max-queue-length,0
562,yarn.nodemanager.delete.debug-delay-sec,0
563,yarn.nodemanager.local-cache.max-files-per-directory,8192
564,yarn.nodemanager.localizer.cache.cleanup.interval-ms,600000
565,yarn.nodemanager.localizer.cache.target-size-mb,10240
566,yarn.nodemanager.localizer.client.thread-count,5
567,yarn.nodemanager.localizer.fetch.thread-count,4
568,yarn.nodemanager.default-container-executor.log-dirs.permissions,710
